Etc/UTC,Open,High,Low,Close,Volume
2020-02-11T00:00:00+00:00,9795,9800.5,9794.9,9800.2,1122920
2020-02-11T00:01:00+00:00,9800.5,9803.8,9798.6,9802.8,907500
2020-02-11T00:02:00+00:00,9802.8,9803,9796.2,9796.2,723592
2020-02-11T00:03:00+00:00,9796.2,9796.2,9780.8,9780.8,168402
2020-02-11T00:04:00+00:00,9780.5,9780.9,9775.1,9775.9,193045
2020-02-11T00:05:00+00:00,9775.9,9781.6,9771.5,9776.6,842520
2020-02-11T00:06:00+00:00,9776.6,9778.7,9771.6,9775.6,810924
2020-02-11T00:07:00+00:00,9775.6,9785.8,9775.6,9783.6,1305000
2020-02-11T00:08:00+00:00,9783.7,9783.8,9782.5,9782.7,645105
2020-02-11T00:09:00+00:00,9782.9,9784.9,9778.4,9779.5,667647
2020-02-11T00:10:00+00:00,9779.7,9779.7,9778,9778.1,450021
2020-02-11T00:11:00+00:00,9778,9778.6,9777.7,9778.6,242542
2020-02-11T00:12:00+00:00,9778.6,9788.7,9778.5,9787.7,907500
2020-02-11T00:13:00+00:00,9787.7,9789.5,9784.7,9789.5,540000
2020-02-11T00:14:00+00:00,9789.5,9789.5,9784.2,9784.3,472500
2020-02-11T00:15:00+00:00,9784.1,9784.2,9775.2,9779.4,344117
2020-02-11T00:16:00+00:00,9779.3,9779.5,9771.1,9771.3,383067
2020-02-11T00:17:00+00:00,9771.3,9774.5,9768.9,9768.9,298928
2020-02-11T00:18:00+00:00,9768.9,9769.7,9765.7,9766.4,423172
2020-02-11T00:19:00+00:00,9766.4,9766.4,9763,9763,253970
2020-02-11T00:20:00+00:00,9763,9764.1,9755.5,9755.5,3591
2020-02-11T00:21:00+00:00,9755.5,9756.6,9748.9,9749.6,345230
2020-02-11T00:22:00+00:00,9749.3,9749.3,9739.6,9742,722247
2020-02-11T00:23:00+00:00,9742.1,9751.8,9741.6,9749,798403
2020-02-11T00:24:00+00:00,9749.3,9752.1,9743.1,9752.1,416533
2020-02-11T00:25:00+00:00,9752.6,9754.3,9744.6,9745.8,807983
2020-02-11T00:26:00+00:00,9745.8,9753.9,9745.1,9751.2,982500
2020-02-11T00:27:00+00:00,9751.2,9751.4,9748.1,9749.6,640063
2020-02-11T00:28:00+00:00,9749.8,9749.9,9748,9748.1,140609
2020-02-11T00:29:00+00:00,9748,9748.1,9741.9,9742.1,129558
2020-02-11T00:30:00+00:00,9742,9742,9727,9727,1014348
2020-02-11T00:31:00+00:00,9727.1,9729.2,9723.4,9724,718150
2020-02-11T00:32:00+00:00,9724,9729.7,9716.5,9719.6,615293
2020-02-11T00:33:00+00:00,9719.9,9727.4,9717.6,9722.4,1027226
2020-02-11T00:34:00+00:00,9722.4,9731.3,9722.4,9731.2,827836
2020-02-11T00:35:00+00:00,9730.9,9731.1,9722.3,9725.1,598655
2020-02-11T00:36:00+00:00,9725.1,9731.3,9721.1,9731.3,414159
2020-02-11T00:37:00+00:00,9731.3,9744.4,9730.6,9744.3,1222500
2020-02-11T00:38:00+00:00,9744.3,9748.4,9743.6,9747.9,1033193
2020-02-11T00:39:00+00:00,9747.9,9753.7,9747.4,9753.1,652500
2020-02-11T00:40:00+00:00,9753.1,9755.2,9748.2,9748.4,315125
2020-02-11T00:41:00+00:00,9748.3,9756.1,9746.9,9751.8,643991
2020-02-11T00:42:00+00:00,9751.7,9756.9,9751.1,9753.5,601365
2020-02-11T00:43:00+00:00,9753.7,9755.8,9751.3,9751.3,457920
2020-02-11T00:44:00+00:00,9751.3,9751.6,9748.2,9748.4,3045
2020-02-11T00:45:00+00:00,9748.4,9748.6,9742.7,9742.7,1638
2020-02-11T00:46:00+00:00,9742.7,9747.4,9741.4,9746.9,308823
2020-02-11T00:47:00+00:00,9746.9,9761.2,9746.8,9755.1,1358025
2020-02-11T00:48:00+00:00,9755.1,9764.8,9755.1,9759.6,1080378
2020-02-11T00:49:00+00:00,9759.7,9760.5,9758.2,9758.9,466449
2020-02-11T00:50:00+00:00,9759,9759,9750.6,9755.1,109936
2020-02-11T00:51:00+00:00,9755.2,9755.3,9746.4,9749.7,731239
2020-02-11T00:52:00+00:00,9749.7,9749.7,9742.4,9742.4,228865
2020-02-11T00:53:00+00:00,9742.4,9742.4,9732.8,9735.5,13675
2020-02-11T00:54:00+00:00,9735.5,9735.7,9732.3,9732.8,3087
2020-02-11T00:55:00+00:00,9732.8,9732.8,9726.1,9726.3,651995
2020-02-11T00:56:00+00:00,9726.2,9726.2,9723.1,9724.9,257373
2020-02-11T00:57:00+00:00,9724.4,9726.1,9719.4,9722.4,730125
2020-02-11T00:58:00+00:00,9722.7,9724.7,9718.2,9721.1,931722
2020-02-11T00:59:00+00:00,9721.2,9722.3,9715.3,9717.3,301364
2020-02-11T01:00:00+00:00,9717.3,9738.7,9712.3,9738.3,804600
2020-02-11T01:01:00+00:00,9737.2,9737.7,9720.7,9720.7,704579
2020-02-11T01:02:00+00:00,9720.7,9721.4,9704,9704,4725
2020-02-11T01:03:00+00:00,9704,9713.1,9703.9,9711.3,987205
2020-02-11T01:04:00+00:00,9711.3,9716.1,9708.3,9709.8,437667
2020-02-11T01:05:00+00:00,9709.8,9718.6,9707.3,9713.4,735020
2020-02-11T01:06:00+00:00,9713.4,9722.3,9712.1,9714.1,903886
2020-02-11T01:07:00+00:00,9714.1,9726.4,9714.1,9725.8,981218
2020-02-11T01:08:00+00:00,9725.9,9725.9,9717.4,9722.8,472793
2020-02-11T01:09:00+00:00,9721.9,9722.4,9720.1,9721.3,1262521
