Etc/UTC,Open,High,Low,Close,Volume
2017-06-15T00:00:00+00:00,46.805,46.83,46.755,46.815,10687
2017-06-15T00:01:00+00:00,46.81,46.815,46.805,46.815,1764
2017-06-15T00:02:00+00:00,46.82,46.87,46.82,46.87,4662
2017-06-15T00:03:00+00:00,46.865,46.865,46.855,46.855,378
2017-06-15T00:04:00+00:00,46.86,46.87,46.845,46.85,1512
2017-06-15T00:05:00+00:00,46.845,46.885,46.845,46.88,2646
2017-06-15T00:06:00+00:00,46.885,46.925,46.885,46.92,2814
2017-06-15T00:07:00+00:00,46.915,46.95,46.91,46.915,2772
2017-06-15T00:08:00+00:00,46.91,46.91,46.895,46.905,2562
2017-06-15T00:09:00+00:00,46.91,46.92,46.905,46.92,1260
2017-06-15T00:10:00+00:00,46.915,46.92,46.915,46.915,378
2017-06-15T00:11:00+00:00,46.92,46.92,46.91,46.91,1008
2017-06-15T00:12:00+00:00,46.915,46.915,46.91,46.91,252
2017-06-15T00:13:00+00:00,46.915,46.92,46.91,46.92,756
2017-06-15T00:14:00+00:00,46.915,46.93,46.91,46.925,1386
2017-06-15T00:15:00+00:00,46.93,46.93,46.9,46.91,924
2017-06-15T00:16:00+00:00,46.905,46.915,46.9,46.915,672
2017-06-15T00:17:00+00:00,46.91,46.91,46.91,46.91,126
2017-06-15T00:18:00+00:00,46.895,46.895,46.895,46.895,126
2017-06-15T00:19:00+00:00,46.89,46.89,46.89,46.89,126
2017-06-15T00:20:00+00:00,46.895,46.895,46.895,46.895,126
2017-06-15T00:21:00+00:00,46.9,46.9,46.9,46.9,337
2017-06-15T00:22:00+00:00,46.905,46.91,46.905,46.905,378
2017-06-15T00:23:00+00:00,46.91,46.91,46.91,46.91,126
2017-06-15T00:24:00+00:00,46.905,46.905,46.905,46.905,126
2017-06-15T00:25:00+00:00,46.895,46.905,46.895,46.9,588
2017-06-15T00:27:00+00:00,46.905,46.91,46.905,46.905,378
2017-06-15T00:28:00+00:00,46.9,46.905,46.9,46.9,462
2017-06-15T00:29:00+00:00,46.905,46.91,46.9,46.905,672
2017-06-15T00:30:00+00:00,46.91,46.915,46.905,46.915,504
2017-06-15T00:31:00+00:00,46.92,46.92,46.915,46.92,378
2017-06-15T00:33:00+00:00,46.905,46.925,46.905,46.925,1123
2017-06-15T00:34:00+00:00,46.92,46.935,46.92,46.935,504
2017-06-15T00:35:00+00:00,46.925,46.93,46.925,46.93,252
2017-06-15T00:38:00+00:00,46.915,46.94,46.915,46.94,1249
2017-06-15T00:39:00+00:00,46.93,46.93,46.905,46.905,756
2017-06-15T00:40:00+00:00,46.9,46.9,46.895,46.9,462
2017-06-15T00:41:00+00:00,46.905,46.905,46.905,46.905,126
2017-06-15T00:42:00+00:00,46.9,46.905,46.9,46.905,294
2017-06-15T00:43:00+00:00,46.9,46.905,46.9,46.905,295
2017-06-15T00:44:00+00:00,46.9,46.9,46.875,46.885,1428
2017-06-15T00:45:00+00:00,46.9,46.9,46.89,46.89,127
2017-06-15T00:46:00+00:00,46.885,46.895,46.885,46.895,630
2017-06-15T00:47:00+00:00,46.89,46.9,46.89,46.9,420
2017-06-15T00:49:00+00:00,46.895,46.905,46.895,46.905,420
2017-06-15T00:51:00+00:00,46.91,46.915,46.895,46.895,1050
2017-06-15T00:52:00+00:00,46.89,46.89,46.885,46.885,252
2017-06-15T00:53:00+00:00,46.89,46.9,46.885,46.895,1218
2017-06-15T00:54:00+00:00,46.9,46.9,46.9,46.9,168
